date,hillary clinton seizure
2017-01-27,0.035928143712574856
2017-01-28,0.0
2017-01-29,0.035928143712574856
2017-01-30,0.0658682634730539
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.035928143712574856
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0658682634730539
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.029940119760479042
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0073774422407751235
2017-03-03,0.025648907523761515
2017-03-04,0.008607015947570977
2017-03-05,0.0
2017-03-06,0.022347502121014644
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.022347502121014644
2017-03-10,0.0
2017-03-11,0.008607015947570977
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0073774422407751235
2017-03-15,0.0073774422407751235
2017-03-16,0.0
2017-03-17,0.025648907523761515
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.022347502121014644
2017-03-23,0.0073774422407751235
2017-03-24,0.01567706476164714
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.047689016218077196
2017-03-28,0.0
2017-03-29,0.03302634976453664
2017-03-30,0.02933762864414908
2017-03-31,0.0
2017-04-01,0.008607015947570977
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.014754884481550247
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.015984458188346103
2017-04-08,0.017828818748539883
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.031968916376692205
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.014754884481550247
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.015984458188346103
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.015369671334948175
2017-04-25,0.0
2017-04-26,0.014754884481550247
2017-04-27,0.015369671334948175
2017-04-28,0.015369671334948175
2017-04-29,0.0
2017-04-30,0.017828818748539883
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.015369671334948175
2017-05-09,0.0
2017-05-10,0.015369671334948175
2017-05-11,0.0
2017-05-12,0.015369671334948175
2017-05-13,0.0
2017-05-14,0.017828818748539883
2017-05-15,0.014754884481550247
2017-05-16,0.0
2017-05-17,0.015369671334948175
2017-05-18,0.0
2017-05-19,0.015369671334948175
2017-05-20,0.0
2017-05-21,0.017828818748539883
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.027665408402906714
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0614786853397927
2017-05-31,0.022747113575723298
2017-06-01,0.015369671334948175
2017-06-02,0.031968916376692205
2017-06-03,0.017828818748539883
