date,obama seizure
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,29.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,52.62352941176471
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,62.64705882352941
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,54.502941176470586
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,51.997058823529414
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,57.008823529411764
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,52.62352941176471
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,61.39411764705882
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,53.25
2017-05-31,52.62352941176471
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
