date,putin event
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,12.0
2017-02-23,0.0
2017-02-24,13.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,6.5
2017-03-04,0.0
2017-03-05,30.50445103857567
2017-03-06,0.0
2017-03-07,6.0
2017-03-08,26.599406528189913
2017-03-09,27.12759643916914
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,30.768545994065285
2017-03-13,0.0
2017-03-14,6.0
2017-03-15,6.0
2017-03-16,6.0
2017-03-17,6.5
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,6.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,7.5
2017-03-26,0.0
2017-03-27,6.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,6.5
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,49.64985163204748
2017-04-15,0.0
2017-04-16,52.290801186943625
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,42.25519287833828
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,50.17804154302671
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,50.17804154302671
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,42.78338278931751
2017-05-10,42.78338278931751
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,50.17804154302671
2017-05-14,50.17804154302671
2017-05-15,0.0
2017-05-16,43.311572700296736
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,52.818991097922854
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,43.839762611275965
2017-06-02,45.95252225519288
2017-06-03,0.0
