date,judge curiel
2017-01-31,0.0
2017-02-01,1.4078212290502794
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,1.541899441340782
2017-02-06,0.9385474860335196
2017-02-07,1.8100558659217876
2017-02-08,0.9385474860335196
2017-02-09,0.4692737430167598
2017-02-10,0.4692737430167598
2017-02-11,1.6089385474860336
2017-02-12,0.5363128491620112
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.4692737430167598
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.4692737430167598
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.5363128491620112
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.4692737430167598
2017-03-01,0.0
2017-03-02,0.4692737430167598
2017-03-03,0.7039106145251397
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.4692737430167598
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.7039106145251397
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.4692737430167598
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.2346368715083799
2017-03-28,0.4692737430167598
2017-03-29,0.0
2017-03-30,0.2346368715083799
2017-03-31,1.2067039106145252
2017-04-01,0.8044692737430168
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.4692737430167598
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,6.70391061452514
2017-04-21,2.4804469273743015
2017-04-22,1.1396648044692737
2017-04-23,1.0726256983240223
2017-04-24,0.0
2017-04-25,0.4692737430167598
2017-04-26,1.4078212290502794
2017-04-27,0.0
2017-04-28,1.005586592178771
2017-04-29,0.5363128491620112
2017-04-30,0.0
2017-05-01,1.005586592178771
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.9385474860335196
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.4692737430167598
2017-05-16,0.0
2017-05-17,0.4692737430167598
2017-05-18,0.9385474860335196
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.4692737430167598
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
